<REG>,PMS150C,PMS15A,PMC153,PMS156,PMS130,PMS131,PMS132B,PMS152,PFS154,PMS164,PMS165C,PFS172,PFS173,PMS133,PMS134,PMS232,PMS234,PMC251,PMS271
version,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a,0.1a
ioend,0x1F,0x1F,0x1F,0x1F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x3F,0x7F,0x7F,0x7F,0x7F,0x7F,0x7F,0x7F
ramend,0x3f,,,,,,,,0x7F,,,,0xff,,,,,95,63
flashend,0x3ff,,,,,,,,0x7FF,,,,0xbff,,,,,0x3ff,0x3ff
ihrccal,0,0,0,0,0,0,0,0,0x87ed,0,0,0,0x8bed,0,0,0,0,0,0
sfr16,t16c,t16c,t16c,t16c,t16c,t16c,t16c,t16c,t16c,t16c,t16c,t16c,t16c,t16c,t16c,t16c,t16c,t16c,t16c
0x00,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG,FLAG
0x01,,,,,,,,,,,,,,,,FPPEN,FPPEN,FPPEN,FPPEN
0x02,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
0x03,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD,CLKMD
0x04,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN,INTEN
0x05,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ,INTRQ
0x06,T16M,T16M,T16M,T16M,T16M,T16M,T16M,T16M,T16M,T16M,T16M,T16M,T16M,T16M,T16M,T16M,T16M,T16M,T16M
0x07,,,,,,,,,,,,,,,,GDIO,GDIO,GDIO,GDIO
0x08,,,,,MULOP,MULOP,MULOP,MISC,MISC,MISC,MISC,,,MULOP,MULOP,,,,
0x09,,,,,MULRH,MULRH,MULRH,,,,,,,MULRH,MULRH,,,,
0x09,TM2B,TM2B,,,TM2B,TM2B,TM2B,TM2B,TM2B,,,,,,,TM2B,,TM2B,
0x0A,EOSCR,EOSCR,-,EOSCR,EOSCR,EOSCR,EOSCR,EOSCR,EOSCR,EOSCR,EOSCR,EOSCR,EOSCR,EOSCR,EOSCR,EOSCR,EOSCR,EOSCR,EOSCR
0x0B,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR,IHRCR
0x0C,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS,INTEGS
0x0D,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER,PADIER
0x0E,,,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER,PBDIER
0x0F,,,,,,,MISC2,MISC2,MISC2,MISC2,MISC2,,,,,(PCDIER),(PCDIER),,
0x10,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA
0x11,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC,PAC
0x12,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH,PAPH
0x13,,,,,,,,,,,,PAPL,PB,PB,PB,,,,
0x14,,,PB,PB,PB,PB,PB,PB,PB,PB,PB,,PBC,PBC,PBC,PB,PB,PB,PB
0x15,,,PBC,PBC,PBC,PBC,PBC,PBC,PBC,PBC,PBC,PB,PBPH,PBPH,PBPH,PBC,PBC,PBC,PBC
0x16,,,PBPH,PBPH,PBPH,PBPH,PBPH,PBPH,PBPH,PBPH,PBPH,PBC,PC,PC,PC,PBPH,PBPH,PBPH,PBPH
0x17,TM2S,TM2S,,,,,MISC,TM2S,TM2S,TM2S,TM2S,PBPH,PCC,PCC,PCC,PC,PC,,
0x18,,,,,,,GPCC,GPCC,GPCC,GPCC,GPCC,PBPL,PCPH,PCPH,PCPH,PCC,PCC,,
0x19,BGTR,BGTR,,,,,GPCS,GPCS,GPCS,GPCS,GPCS,,PBPL,,,PCPH,PCPH,,
0x1A,GPCC,GPCC,,,,,BGTR,BGTR,BGTR,BGTR,BGTR,,PCPL,,,,PD,,
0x1B,MISC,MISC,MISC,MISC,MISC,MISC,RSTST,MISC_LVR,MISC_LVR,RSTST,,,,,,,PDC,,
